al	79
mETilI	79
yudDam	79
praviveSa	79
ata	79
darSanam	79
gatam	78
ou	78
yatAm	78
devAH	78
para	78
yAn	78
kft	77
samare	77
alam	77
aB	77
p	77
prItaH	77
SEla	77
samSayaH	77
inaH	76
ABiH	76
uktam	76
ASramam	76
jagrAha	76
jagmuH	76
Ad	76
budDiH	75
rAvaRena	75
yAt	75
BrAtrA	75
dadfSuH	75
dfSyate	74
vAnar	74
aR	74
eka	74
rAkzasAn	74
yAvat	74
daSaraTaH	74
B	74
SuBam	74
E	73
Bava	73
prA	73
gatiH	73
BrAtuH	73
sUrya	72
niSamya	72
saM	72
rAme	72
satyam	71
aD	71
amiva	71
BAryA	71
brahma	71
ekaH	71
lakzmaRena	70
raGu	70
puzpa	70
muhUrtam	70
aye	70
manasA	70
man	70
BartuH	69
vikramaH	69
mahAtmA	69
itEH	69
ite	69
niz	69
hatam	69
aj	68
parvata	68
aTavA	68
pat	68
gate	68
hema	68
samyuge	67
deSam	67
dadO	67
Ami	67
ag	67
b	67
kar	67
vfttam	67
rAkzasEH	67
kAlam	67
gfhya	66
sura	66
cit	66
tUrRam	66
ta	66
vaDam	66
yuktaH	66
yayO	65
divyam	65
mahAbalam	65
Satam	65
striyaH	65
mahI	65
prAptam	65
tAvat	65
ayat	65
Sakyam	65
tapasA	65
ayoH	65
DarmaH	64
gacCa	64
nadIm	64
ant	64
or	64
tA	64
sTitam	64
padma	64
AsTAya	64
ayoDyAm	64
pApam	64
kAm	64
cakruH	64
karmaRA	64
kAlaH	64
fzi	63
lokasya	63
aRa	63
BUtvA	63
sIte	63
AtmajaH	63
avat	63
rAkzasam	63
sat	63
viS	63
patiH	63
kasya	63
sarvEH	63
taH	63
kva	62
muniH	62
sOmitriH	62
yEH	62
jan	62
gantum	62
janaH	62
kroDa	62
ayitum	62
vAlI	62
praviSya	62
Satru	62
ASrama	62
icCasi	62
tar	62
kftA	61
SiraH	61
aBUt	61
vEdehyA	61
sahasraSaH	61
is	61
sama	61
vaSam	61
va	61
kEkeyI	61
avAn	61
itum	61
vas	61
tArA	61
eByaH	61
muKam	61
hanUmantam	60
candra	60
catur	60
pitaram	60
sv	60
ur	60
tri	60
ayAmAsa	60
mah	60
prav	60
eSaH	59
uktA	59
anyonyam	59
rAkzasAnAm	59
Baratasya	59
Palam	59
AByAm	59
go	59
SArdUla	59
ane	59
tayA	59
mAn	59
vAkya	59
f	59
H	59
sItAyAH	59
puram	59
AS	59
BagavAn	59
inam	58
ezA	58
U	58
viSvAmitraH	58
vartate	58
gatim	58
praBuH	58
hantum	58
prAptaH	58
sarv	58
svam	58
uttaram	57
ISvaraH	57
mahAtejA	57
anta	57
sEnyam	57
eH	57
nihataH	57
vIrO	57
indra	57
UcuH	57
yadA	57
arT	57
AtmA	57
aBivAdya	56
atam	56
ase	56
AyAm	56
itAn	56
SarAn	56
rUpeRa	56
pratyuvAca	56
yati	56
AkASam	56
z	56
Atma	56
ARi	56
gfhItvA	55
drazwum	55
kAkutsTa	55
parAkramaH	55
udyamya	55
kena	55
gam	55
kfte	54
jaGAna	54
Ra	54
tejaH	54
rAmAya	54
aho	54
AyAH	54
K	54
hata	54
aRaH	54
arhati	54
ciram	54
vat	54
itO	54
eShaH	54
Baya	54
matiH	54
sahitaH	54
kOsalyA	53
laRkA	53
KaraH	53
Pala	53
w	53
prARAn	53
kAl	53
od	53
DImataH	53
gat	53
sarvaSaH	53
BrAtarO	53
vIryam	53
nar	53
mahAkapiH	53
tap	53
tad	53
Bavati	52
balena	52
ime	52
king	52
nanAda	52
rAkzas	52
Aditya	52
puruza	52
idAnIm	52
satatam	52
tyaktvA	52
samIkzya	52
apar	52
bahavaH	52
G	51
sutam	51
cApi	51
aram	51
maDu	51
kuSalam	51
cikzepa	51
ayitvA	51
sapta	51
yataH	51
vAlinam	51
vAyu	51
anyaH	51
ra	51
viviDEH	51
mAtA	51
kShipram	51
car	51
mad	51
mArutAtmajaH	51
ac	51
tejasvI	51
patim	51
pragfhya	51
bal	51
lokam	51
hanuman	51
cakre	51
pitrA	50
sugrIvasya	50
Sokam	50
SUrAH	50
ek	50
ganDarva	50
BartA	50
ekena	50
balavAn	50
mahIm	50
vaktum	50
strI	50
vAcA	50
niS	50
kroDAt	50
sOmitre	49
paramam	49
padam	49
asyAH	49
gamizyAmi	49
nadI	49
balI	49
akz	49
bAhuH	49
samaH	49
ik	49
kz	49
akAH	49
sar	49
rAH	49
lokAn	49
guRa	49
Ahave	49
BUtAnAm	49
ARAm	49
gatA	49
abruvan	48
AryaH	48
mahAyaSAH	48
ekam	48
apa	48
BUtAni	48
ft	48
Gora	48
iS	48
on	48
mahAbAho	48
SanEH	48
ve	48
eSu	48
jana	48
Sat	48
Av	48
sugrIveRa	48
meGa	48
kumBakarRaH	48
pratApavAn	47
vajra	47
ArTam	47
dev	47
jala	47
yAmi	47
dattam	47
agnim	47
maya	47
BAryAm	47
har	46
AtmanA	46
ratna	46
SirasA	46
maha	46
aca	46
ast	46
nihatam	46
purI	46
vacanAt	46
vyaktam	46
BayAt	46
oH	46
akaH	46
nfpa	46
sarvA	46
yudD	46
sav	46
viD	46
simha	46
sadfSam	46
mahAbalAH	46
BImam	46
daS	46
raH	46
raT	46
SuBa	46
maRi	45
aBy	45
BaviShyati	45
bARa	45
niSitEH	45
adButam	45
Aha	45
Saram	45
nam	45
Sokena	45
raTa	45
yudDa	45
kartavyam	45
SaraRam	45
aRgadaH	45
IH	45
kAncana	45
gaj	45
viviDAn	44
eyam	44
sarvezAm	44
rUpa	44
priyA	44
sarvARi	44
mumoca	44
Aca	44
apare	44
budDim	44
anyat	44
tr	44
inA	44
ameva	44
cAru	44
Anam	44
Danam	44
agniH	44
divam	44
anaGa	44
kArya	44
rAn	44
vegam	44
kriyatAm	44
Ak	44
sarvaTA	44
ayanti	44
cintayAmAsa	44
viBISaRaH	44
hariH	43
Sh	43
viSvAmitram	43
sur	43
ved	43
indrajit	43
druma	43
raTaH	43
patitam	43
rAGaveRa	43
un	43
dIpta	43
vimAnam	43
akam	43
arTaH	43
Druvam	43
sametya	43
AmSca	43
kAmaH	43
Agamya	43
vid	43
pApa	43
Srutam	43
AD	43
Al	43
tvA	42
Bagavan	42
samara	42
narAH	42
lakzmaRasya	42
anAH	42
ab	42
duHKa	42
ed	42
janaka	42
pur	42
vAsam	42
uttama	42
ayati	42
kS	42
hfzwaH	42
re	42
dvAram	42
Iva	42
karam	42
vaD	42
Sak	42
praBam	42
priyAm	42
citra	42
baBO	42
Aram	42
SataSaH	42
rAkSasa	42
prekzya	42
vanAni	41
inIm	41
AB	41
mahendra	41
yaSaH	41
mahAtmAnam	41
he	41
gfham	41
kA	41
astam	41
avi	41
T	41
vIrya	41
LakSmana	41
baBUvuH	41
SUraH	41
dInaH	41
vEdehyAH	41
vAk	41
